,nama_brand,nama_produk,nama_sub_produk,rating_produk,total_review,nama_produk_lengkap
568,Teratu Beauty,Eau de Parfum,Brown Sugar Vanilla,4.9,9,Eau de Parfum Brown Sugar Vanilla
569,Bon Parfumeur,"901 Nutmeg, Almond, Patchoulli",,5.0,9,"901 Nutmeg, Almond, Patchoulli"
570,Jeanne Arthes,Perpetual Pearl,Blend of Pineapple and Peach,4.6,9,Perpetual Pearl Blend of Pineapple and Peach
571,Victoria's Secret,"XO, Victoria EDP",,4.56,9,"XO, Victoria EDP"
572,Paco Rabanne,Paco Rabanne Olympea,,4.4,9,Paco Rabanne Olympea
573,Oriflame,Live In Colour Eau de Parfum,,4.1,9,Live In Colour Eau de Parfum
574,Lancome,Tresor,Eau de Perfume,4.4,9,Tresor Eau de Perfume
575,Kitschy,x Rania De Bloem EDP,,4.7,9,x Rania De Bloem EDP
576,Giorgio Armani,Si Fiori Eau de Parfum,,4.9,9,Si Fiori Eau de Parfum
577,Mykonos,Cafe Drops EDP,,4.4,9,Cafe Drops EDP
578,Oriflame,Amazing Paradise Eau de Parfum,,4.8,9,Amazing Paradise Eau de Parfum
579,BIES,Love Elixir EDP,,4.4,9,Love Elixir EDP
580,Hugo Boss,Ma Vie Pour Femme EDP,,4.8,9,Ma Vie Pour Femme EDP
581,Cartier,Carat Eau de Parfum,,4.78,9,Carat Eau de Parfum
582,Parfums de Marly,Delina Exclusif,,4.6,9,Delina Exclusif
583,Oullu,Umbra Eau de Perfume,,4.3,9,Umbra Eau de Perfume
584,Syca,Before The Day Ends,Afternoon Tea Time,5.0,9,Before The Day Ends Afternoon Tea Time
585,Gucci,Gucci Rush 2,,4.2,9,Gucci Rush 2
586,Swana,Eau de Parfum,Sunshine,4.6,9,Eau de Parfum Sunshine
587,House of Medici,Eau De Parfum,Fatima La Isabella,4.2,9,Eau De Parfum Fatima La Isabella
588,Fetch,Libertango,,4.4,9,Libertango
589,Geamoore,Addicted Parfum,Vanillatte,4.4,9,Addicted Parfum Vanillatte
590,USUAL/SCENTLAB,Eau de Parfume,Jasmine Bouquet,4.2,9,Eau de Parfume Jasmine Bouquet
591,Penhaligon's,Luna,,4.9,9,Luna
592,BRASOV,Signature,03 Aquamarine,4.9,9,Signature 03 Aquamarine
593,Unke Naru,Cocoa Mint EDP,,4.2,9,Cocoa Mint EDP
594,Fordive,Eau De Parfum,Shelby,5.0,9,Eau De Parfum Shelby
595,Bonavie,Eau De Parfum,La Belle Etoile,4.6,9,Eau De Parfum La Belle Etoile
596,Yves Saint Laurent,Y Eau De Parfum,,4.9,8,Y Eau De Parfum
597,Le Labo,Noir 29,,3.9,8,Noir 29
598,LA RIVE,Destinee,,3.8,8,Destinee
599,MS Glow,Bollywood Eau de Perfume,,5.0,8,Bollywood Eau de Perfume
600,Morris,Tropical Edition,Marine,4.4,8,Tropical Edition Marine
601,Citizens of The World,Sodermalm,,4.8,8,Sodermalm
602,Evangeline,Premium Eau De Parfum,Creamy Butter,4.6,8,Premium Eau De Parfum Creamy Butter
603,Personal Chemistry,Unspoken,,4.9,8,Unspoken
604,MEMOIR,Let's Freaking Go (LFG),,5.0,8,Let's Freaking Go (LFG)
605,Salvatore Ferragamo,Eau de Parfum Spray for Women,Signorina,4.5,8,Eau de Parfum Spray for Women Signorina
606,Estee Lauder,Beautiful Belle,,5.0,8,Beautiful Belle
607,Oullu,Arcana Eau de Perfume,,4.1,8,Arcana Eau de Perfume
608,Victoria's Secret,Dream Angels Heavenly EDP,,4.7,8,Dream Angels Heavenly EDP
609,Estee Lauder,Pure White Linen Eau de Parfum Spray,Fresh,4.7,8,Pure White Linen Eau de Parfum Spray Fresh
610,Evangeline,Eau De Perfume,Holy,4.5,8,Eau De Perfume Holy
611,Etre Parfums,Angélique,,4.9,8,Angélique
612,Skinouru,Eau de Parfum,Jardine Jasmine,5.0,8,Eau de Parfum Jardine Jasmine
613,Alt Perfumery,Teatime in Kyoto,,4.3,8,Teatime in Kyoto
614,Scarlett,Biru Samudra Extrait De Parfum,,4.5,8,Biru Samudra Extrait De Parfum
615,YN Perfumery,Rose In September Eau De Parfum,,4.5,8,Rose In September Eau De Parfum
